نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
اپال,فرآوري معدني اپال كاني پارس,53887,64856200,1.04025E+12,16000,15920,16260,260.00,1.63,16040,40.00,0.25,15680,16410
بركت,گروه دارويي بركت,50725,106624749,3.46449E+12,31650,31790,33110,"1,460.00",4.61,32490,840.00,2.65,31020,33390
كزغال,زغال سنگ پروده طبس,41567,15455024,5.1649E+11,32138,32000,34066,"1,928.00",6.00,33419,"1,281.00",3.99,31496,34066
پالايش,صندوق پالايشي يکم-سهام,39295,55121904,4.71939E+12,88980,85430,85430,"-3,550.00",-3.99,85620,"-3,360.00",-3.78,85430,86800
دارا يكم,صندوق واسطه گري مالي يكم-سهام,31330,23070134,3.29805E+12,148090,142350,142170,"-5,920.00",-4.00,142960,"-5,130.00",-3.46,142170,145490
شپنا,پالايش نفت اصفهان,26731,237638739,3.01051E+12,12830,12580,12590,-240.00,-1.87,12670,-160.00,-1.25,12580,13080
شستا,سرمايه گذاري تامين اجتماعي,18035,65668566,1.24513E+12,19310,18930,18930,-380.00,-1.97,18960,-350.00,-1.81,18930,19200
فملي,ملي‌ صنايع‌ مس‌ ايران‌,12667,77459661,9.47711E+11,12410,12190,12250,-160.00,-1.29,12230,-180.00,-1.45,12170,12390
فولاد,فولاد مباركه اصفهان,12192,88138499,1.10141E+12,12590,12480,12590,0,0,12500,-90.00,-0.71,12340,12640
وتجارت,بانك تجارت,11631,327542622,8.21746E+11,2520,2470,2540,20.00,0.79,2510,-10.00,-0.40,2470,2550
غگل,گلوكوزان‌,11127,128149377,4.5376E+11,3510,3600,3590,80.00,2.28,3540,30.00,0.85,3440,3640
رافزا,رايان هم افزا,10837,430263,38487885876,84389,89452,89452,"5,063.00",6.00,86269,"1,880.00",2.23,89452,89452
بوعلي,پتروشيمي بوعلي سينا,9594,2803450,1.1803E+11,42370,41760,42110,-260.00,-0.61,42100,-270.00,-0.64,41540,42800
شبندر,پالايش نفت بندرعباس,9489,55455595,1.51401E+12,27820,27270,27270,-550.00,-1.98,27300,-520.00,-1.87,27270,27700
بگيلان,توسعه مسير برق گيلان,9407,4157996,87662108791,21006,20600,21370,364.00,1.73,21083,77.00,0.37,20586,21638
ثاميد,توسعه و عمران اميد,9402,67148002,1.03822E+11,1570,1560,1550,-20.00,-1.27,1550,-20.00,-1.27,1540,1570
وسپهر,سرمايه گذاري مالي سپهرصادرات,9026,21154023,2.13659E+11,10100,10100,10101,1.00,0.01,10100,0,0,10100,10102
خبهمن,گروه‌بهمن‌,7945,26807020,5.17628E+11,19360,19020,19310,-50.00,-0.26,19310,-50.00,-0.26,18980,19980
وبملت,بانك ملت,7516,177740508,6.69534E+11,3740,3730,3770,30.00,0.80,3770,30.00,0.80,3670,3860
بالبر,كابل‌ البرز,7282,10818883,6.76762E+11,62000,65720,60760,"-1,240.00",-2.00,62550,550.00,0.89,60760,65720
امين,تامين سرمايه امين,7195,3538229,36829083290,10400,10420,10400,0,0,10410,10.00,0.10,10400,10430
آريا,پليمر آريا ساسول,6958,2679637,2.19362E+11,82185,80570,82100,-85.00,-0.10,81862,-323.00,-0.39,80542,83090
شتران,پالايش نفت تهران,6436,63551479,5.52243E+11,8850,8680,8680,-170.00,-1.92,8690,-160.00,-1.81,8680,8840
